,Codi Municipi,Codi Província,CUP_pct,CSQP_pct,Cs_pct,JxSi_pct,PP_pct,PSC_pct,Unio_pct,Unionisme_pct,Independ_pct,Cat,Spa,Abroad,Tot,pct_cat,pct_foreign,pct_spa,RFDB,RFDB_hab,RFDB_idx,ST,1erGrau,2nGrau,Univ,Tot_Niv_Ed,pct_Univ,pct_1erGrau,understands,speaks,reads,writes,no_underst,Tot_cat,pct_cat_speakers
Abella de la Conca,25001,25,16.82,2.8,8.41,53.27,4.67,10.28,2.8,23.36,70.09,153.0,8.0,20.0,181.0,84.5303867403315,11.049723756906078,4.419889502762431,,,,,,,,,,,169.0,164.0,161.0,107.0,0.0,169.0,97.0414201183432
Abrera,8001,8,6.43,13.31,25.14,23.92,8.79,18.1,1.86,52.03,30.35,8224.0,2800.0,1192.0,12216.0,67.3215455140799,9.757694826457106,22.920759659463,212166.0,17.7,107.7,829.0,1059.0,6259.0,,9465.0,,11.188589540412044,10796.0,7703.0,8748.0,6099.0,556.0,11351.0,67.86186239097877
Agramunt,25003,25,5.21,3.56,8.64,66.48,6.34,5.52,2.98,20.5,71.69,3980.0,507.0,903.0,5390.0,73.8404452690167,16.753246753246753,9.40630797773655,77749.0,14.3,86.6,,657.0,2842.0,,4601.0,,14.279504455553141,5344.0,4472.0,4582.0,3692.0,,5416.0,82.57016248153619
Aguilar de Segarra,8002,8,10.98,3.05,2.44,73.78,2.44,0.0,6.1,4.88,84.76,235.0,11.0,7.0,253.0,92.88537549407114,2.766798418972332,4.3478260869565215,,,,,,,,,,,,,,,,,
Agullana,17001,17,16.77,3.35,6.5,62.47,3.14,5.45,1.89,15.09,79.24,615.0,89.0,137.0,841.0,73.12722948870392,16.29013079667063,10.582639714625445,,,,,,,,,,,773.0,673.0,730.0,522.0,,819.0,82.17338217338218
Aiguafreda,8014,8,9.74,5.08,5.02,64.18,5.14,6.61,3.31,16.77,73.92,1992.0,322.0,153.0,2467.0,80.74584515605999,6.20186461289015,13.052290231049858,,,,,284.0,1334.0,,2052.0,,13.840155945419104,2362.0,2062.0,2047.0,1574.0,,2369.0,87.04094554664415
Aiguamúrcia,43001,43,10.4,5.84,12.04,54.56,5.66,9.12,0.91,26.819999999999997,64.96000000000001,690.0,128.0,85.0,903.0,76.41196013289037,9.413067552602437,14.174972314507198,,,,,,,,,,,805.0,706.0,701.0,528.0,74.0,878.0,80.41002277904327
Aiguaviva,17002,17,8.62,3.21,9.42,68.34,3.01,3.01,3.81,15.44,76.96000000000001,663.0,67.0,33.0,763.0,86.89384010484928,4.325032765399738,8.781127129750983,,,,,,,,,,,758.0,705.0,706.0,607.0,,761.0,92.64126149802891
Aitona,25038,25,3.86,1.8,5.0,65.14,14.52,4.76,4.18,24.28,69.0,1657.0,209.0,657.0,2523.0,65.67578279825605,26.040428061831154,8.283789139912802,,,,,451.0,,,1888.0,,23.88771186440678,2019.0,1499.0,1591.0,938.0,169.0,2187.0,68.5413808870599
"Alamús, els",25004,25,4.39,3.97,8.16,68.83,4.81,4.81,4.18,17.779999999999998,73.22,601.0,72.0,126.0,799.0,75.21902377972465,15.76971214017522,9.011264080100124,,,,,,,,,,,739.0,663.0,669.0,435.0,0.0,739.0,89.71583220568336
"Albagés, l'",25006,25,7.72,4.78,10.66,52.21,7.72,12.87,2.94,31.25,59.93,341.0,50.0,12.0,403.0,84.61538461538461,2.977667493796526,12.40694789081886,,,,,,,,,,,423.0,385.0,403.0,293.0,,424.0,90.80188679245283
Albanyà,17003,17,24.42,2.33,0.0,63.95,1.16,6.98,1.16,8.14,88.37,120.0,14.0,13.0,147.0,81.63265306122449,8.843537414965986,9.523809523809524,,,,,,,,,,,140.0,128.0,133.0,98.0,,142.0,90.14084507042253
Albatàrrec,25007,25,7.75,5.25,16.12,52.72,5.88,7.39,2.94,29.39,60.47,1552.0,207.0,532.0,2291.0,67.74334351811436,23.221300742034046,9.035355739851592,,,,,322.0,976.0,,1687.0,,19.08713692946058,1975.0,1737.0,1702.0,1307.0,,2023.0,85.86258032624815
Albesa,25008,25,7.25,1.76,6.52,67.39,9.52,4.35,1.86,20.39,74.64,1320.0,52.0,224.0,1596.0,82.70676691729324,14.035087719298245,3.2581453634085213,,,,,292.0,,,1402.0,,20.827389443651924,1530.0,1315.0,1273.0,950.0,,1630.0,80.67484662576688
"Albi, l'",25009,25,11.13,3.4,6.98,60.75,9.43,3.02,4.34,19.43,71.88,699.0,50.0,54.0,803.0,87.04856787048568,6.724782067247821,6.226650062266501,,,,,,,,,,,820.0,734.0,760.0,564.0,,833.0,88.11524609843937
